dataset_id,handle,siteid,sitename,long,lat,altitude,depositionalenvironment,country,n_sample_counts,age_min,age_max,n_chron_control,doi
12,AGE,12,Ageröds Mosse,13.41701,55.92856,58,Raised Bog,Sweden,103,-8,8481.5,22,10.21233/znex-sp94
20,AKUV,20,Akuvaara,27.67406,69.12326,170,Glacial Origin Lake,Finland,25,-12,8265.5,6,10.21233/n37g69
317,BRUVAT,310,Bruvatnet [Rovvejávri],28.39012,70.17739,119,Glacial Origin Lake,Norway,25,365.5,8331.5,6,10.21233/n3870x
1434,KALSA,1398,Kalsa Mire,27.41146,58.19142,38,Mire,Estonia,64,30,8064.999999999999,12,10.21233/n3173w
1438,KANSJON,1401,Kansjön,14.53458,57.64055,308,Glacial Scour Lake,Sweden,22,178.5,8159.5,13,10.21233/n3h737
4011,DAGSMOO,3077,Dags Mosse,14.70652,58.32288,96,Raised Bog,Sweden,124,10,8417.5,21,10.21233/2c89-ct63
4041,FLAATEVA,3106,Flaatevatn,6.16444,59.69702,570,Glacial Origin Lake,Norway,20,940,8382.5,5,10.21233/x43j-z193
4042,FLARKTOT,3107,Lake Flarken,13.67319,58.55679,109,Glacial Origin Lake,Sweden,84,217.5,8440.5,14,10.21233/xq55-z804
4092,HIRVILAM,3145,Hirvilampi,24.25122,60.62404,114,Natural Lake,Finland,74,744,8484,6,10.21233/3vvs-zb43
4133,KAAKOTIN,3177,Kaarkotinlampi,25.86881,61.41513,104,Natural Lake,Finland,24,-12.5,8461.5,7,10.21233/mnay-8z91
4136,KANGERJ,3180,Kangerjoki,28.99524,66.12667,288,Soligenous Mire,Finland,22,8.5,8413,8,10.21233/h27c-dp97
4139,KARU,3183,Lake Karujarv,22.2,58.38333,32,Glacial Origin Lake,Estonia,74,561,6994.5,11,10.21233/m5qy-sh73
4141,KASSJON,3185,Kassjön,20.00963,63.92548,84,Glacial Origin Lake,Sweden,78,-31,6323.5,78,10.21233/q5ay-rh67
4200,LGLOPPSJ,3234,Lilla Gloppsjön,14.62333,59.80167,198,Natural Lake,Sweden,68,-20,8304.5,12,10.21233/vpnw-pv89
4203,LIIVJARV,3236,Liivjarve Bog,27.57509,59.30546,46,Bog,Estonia,56,320.5,8460.5,8,10.21233/raph-rb39
4239,MAANSEL,3264,Maanselänsuo,29.61124,65.61709,248,Mire,Finland,19,600.5,8436,5,10.21233/1g98-ct07
45381,MAASV,3265,Lake Maardu,25,59.43333,32,Lacustrine,Estonia,71,50,8347,6,10.21233/45g4-ry85
4259,MAYRA,3279,Mayralampi,26.23393,62.34206,118,Lacustrine,Finland,73,410,8433,6,10.21233/g1np-hb58
4286,MUKKAV,3302,Mukkavaara,21,68.91667,535,Glacial Origin Lake,Finland,45,111,8328,9,10.21233/pvn2-a273
4308,NIGULA,3316,Nigula,24.68735,58.00009,55,Raised Bog,Estonia,57,111,8432,12,10.21233/cr8f-k669
4362,PUNSO,3364,Punso,27.25948,57.68477,183,Lacustrine,Estonia,36,-44,8460,11,10.21233/719p-q753
4369,RAIGASTV,3369,Raigastvere Lake,26.64967,58.59222,52,Lacustrine,Estonia,84,67.5,8455,11,10.21233/20xs-m168
4372,RATTUV,3372,Råttuvarri,20.31667,69.35,100,Natural Lake,Norway,21,147.5,8461,6,10.21233/zqse-ep64
4393,RYONANSU,3389,Ryönänsuo,24.17439,60.43763,70,Raised Bog,Finland,59,301,8388.5,9,10.21233/1csm-st79
4403,SAMBOTOT,3398,Lake Sämbosjön,12.41426,57.16313,35,Drained Lake,Sweden,84,701.5,8456.5,15,10.21233/53ys-nt12
4445,SOLSOE81,3432,Lake Solsø,8.61199,56.12781,41,Drained Lake,Denmark,51,18,8377,30,10.21233/4r4q-0m97
4472,SYRJALAN,3455,Syrjälänsuo,28.11667,61.21667,83,Bog,Finland,59,122.5,8450,8,10.21233/26e5-b250
4497,TUIU,3478,Mire Johvika,22.38803,58.4848,32,Mire,Estonia,23,273.5,8009,6,10.21233/zcst-x145
4531,WEST,3505,Mire Pelisoo,22.38333,58.46667,33,Raised Bog,Estonia,45,219,8216.5,6,10.21233/h1sz-c208
4539,YLIMYSNE,3513,Ylimysneva,22.86667,62.13333,172,Bog,Finland,46,-22,8462.5,5,10.21233/yeg0-6p54
19909,KLOT,13336,Klotjärnen,16.40472,61.82125,235,Natural Lake,Sweden,99,439,8393.5,6,10.21233/6bhj-jv09
19913,ABBO,13338,Abborrtjärnen,14.45,63.88333,387,Lacustrine,Sweden,96,7,8448.5,7,10.21233/2vzb-bg61
20012,DONVOLD,13381,Donvold,13.58333,68.13333,10,Bog,Norway,45,39,8361,7,10.21233/057s-wr75
20018,FLAFATTJ,13383,Lake Flåfattjønna,10.39435,62.33017,1115,Lacustrine,Norway,58,-30,8440.5,8,10.21233/g7c8-hk59
20034,DALMUT,13388,Dalmutladdo,20.71667,69.16667,355,Glacial Origin Lake,Norway,57,377,8394,8,10.21233/c8mz-0061
20046,BRURSKAR,13391,Brurskardtjørni,8.66667,61.41667,1309,Glacial Origin Lake,Norway,50,0,8370,7,10.21233/td9p-m745
20050,OYKJA,13392,Vestre Øykjamyrtjørn,6,59.81667,570,Glacial Origin Lake,Norway,59,-51,8499,12,10.21233/c7eh-we69
20279,CAPPESJA,13476,Liten Cap’pesjav’ri,25.36415,71.07382,41,Glacial Origin Lake,Norway,46,237,8338,15,10.21233/d73q-6954
20285,GUNNARS,13478,Over Gunnarsfjorden,28.16545,71.03753,78,Glacial Origin Lake,Norway,96,171.5,8367,20,10.21233/8s7z-k891
20293,KOBBKROK,13481,Over Kobbkrokvatnet,29.29295,70.6989,51,Glacial Origin Lake,Norway,51,547,8353,18,10.21233/snyf-b526
21790,HOLT,14040,Holtjärnen,14.92555,60.65141,232,Glacial Origin Lake,Sweden,83,-46,8335,7,10.21233/bsv3-k317
24110,MABO,15711,Mabo Moss,16.05602,58.02114,117,Raised Bog,Sweden,88,418.5,8489,17,10.21233/sq7c-9a90
24155,TSUOLJVR,15733,Lake Tsuolbmajavri,22.05346,68.68811,526,Natural Lake,Finland,123,29,8456,14,10.21233/3hey-1169
41764,SKAIDJVR,24041,Lake Skaidejavri,27.83997,70.0476,183,Glacial Origin Lake,Finland,89,-36,8427,6,10.21233/fka8-9069
44941,KILOMYR,25998,Myrvatnet,16.37673,68.6586,197,Glacial Origin Lake,Norway,52,-27,8299,7,10.21233/phqc-me73
45312,VUOLEPAL,26118,Vuolep Allasasjaure,18.16667,68.16667,995,Lacustrine,Sweden,74,16,8410,5,10.21233/c1g1-cw06
45329,OTTMOR,26123,Morttjern,11.61778,59.05972,227,Natural Lake,Norway,46,-23,8480,9,10.21233/bkyg-et47
45343,OTTSVA,26125,Svartvatnet,8.87778,63.35139,183,Natural Lake,Norway,47,-27,8389.5,11,10.21233/4k7v-pp08
45345,OTTTIA,26126,Tiåvatnet,9.41694,63.05972,464,Natural Lake,Norway,74,-30,8375,9,10.21233/aext-h866
45347,OTTRAT,26127,Råtåsj¢en,9.83333,62.26667,1169,Natural Lake,Norway,47,45,8490,9,10.21233/0zgh-6r09
45349,OTTAFS,26128,Afstj¢rna,9.87667,61.64917,991,Natural Lake,Norway,35,-25,8166.5,9,10.21233/e3mw-tc57
45351,OTTMAS,26129,Måsåtjørnet,10.26778,61.5625,841,Natural Lake,Norway,38,-28,8161,9,10.21233/geb4-ch43
45377,MUST,26142,Mustjärve bog,24.1,59.075,39,Bog,Estonia,105,50,8421.5,9,10.21233/3pzj-0y37
45379,RUI,26143,Lake Ruila,24.43111,59.175,43,Lacustrine,Estonia,31,43.5,8386,11,10.21233/8c8d-g988
45383,KAHA,26144,Lake Kahala,25.53861,59.48944,33,Lacustrine,Estonia,40,48,8493,9,10.21233/p0mn-7534
45385,VIPI,26145,Viitna Linajärv,26.01389,59.45139,75,Lacustrine,Estonia,30,31.5,8403.5,8,10.21233/2tkh-z079
45387,VILINA,26145,Viitna Linajärv,26.01389,59.45139,75,Lacustrine,Estonia,32,27,8204,6,10.21233/s6wg-4d92
45389,VJUUS,26146,Väike Juusa,26.51722,58.05917,122,Lacustrine,Estonia,52,32,8377.5,6,10.21233/ws4c-an72
45391,VER,26147,Lake Verijärv,27.05833,57.80833,90,Lacustrine,Estonia,158,28.5,8416,5,10.21233/ap4h-y067
45393,VALL1,26148,Vällamäe,27.06917,57.73722,250,Mire,Estonia,64,94,8491,9,10.21233/ccqb-dc70
45395,VALL3,26148,Vällamäe,27.06917,57.73722,250,Mire,Estonia,48,93,8293,13,10.21233/f7qr-f244
45636,KILOLIT,26167,Litlvatnet,14.92872,68.52608,106,Natural Lake,NA,39,-24,8332.5,7,10.21233/pr2m-cc37
45639,KILOGAM,26168,Gammelheimenvatnet,17.75935,68.48221,290,Natural Lake,Norway,68,-24,8416,9,10.21233/bkjz-st84
45642,KILOBJO,26169,Bjørnfjelltjørn,18.07167,68.44417,515,Natural Lake,Sweden,50,-25,8400,8,10.21233/0d1q-p773
45698,OTTHAU,26210,Haugtjernet,10.87192,60.83329,338,Natural Lake,Norway,65,-29,8414,9,10.21233/cr6x-be86
45701,OTTKIN,26211,Kinnshaugen,10.35774,61.1078,591,Natural Lake,Norway,47,-26,8380.5,9,10.21233/epv2-3m87
45704,SETESOY,26212,Øygardstjønn,7.985,59.62523,665,Natural Lake,Norway,39,-26,8245.5,8,10.21233/bfpc-jd87
45707,SETESLT,26213,Lisletjønn,7.30337,59.34237,520,Natural Lake,Norway,39,-26,8445.5,6,10.21233/yxzd-xn66
45710,SETESF,26214,Flotatjønn,7.53886,59.66874,890,Natural Lake,Norway,39,-28,8332,6,10.21233/wjmk-7376
45713,SETESLK,26215,Lille Kjelavatn,7.2514,59.79573,978,Natural Lake,Norway,80,-23,8496,7,10.21233/9e9x-ff23
45716,SETESH,26216,Holebudalen,6.99194,59.84139,1144,Natural Lake,Norway,64,-25,8374,8,10.21233/rfek-5a50
45719,SETESGR,26217,Grostjørna,7.73221,58.53704,180,Natural Lake,Norway,59,-25,8438.5,8,10.21233/w0j3-9h31
45722,SETESR,26218,Reiersdalvann,7.78231,58.32563,245,Natural Lake,Norway,79,-23,8421,8,10.21233/tpvk-wa79
45725,SETESD,26219,Dalane,8.00356,58.24364,40,Natural Lake,Norway,49,-25.5,8261,9,10.21233/s0pq-6335
45728,SETESGH,26220,Grauthelleren,7.91361,58.14445,80,Natural Lake,Norway,46,-26,8364,9,10.21233/b5h9-pm78
45731,SETESI,26221,Isbenttjønn,7.43237,59.76425,787,Natural Lake,Norway,52,-25,8429,8,10.21233/37a7-9h33
46457,NIZHNEOS,26566,Nizhneosinovskoye peat bog,29.14831,60.68702,23,Bog,Russia,36,-23,8479,30,10.21233/4jv3-em45
46490,MSHINSKO,26582,Mshinskoye raised bog,29.97722,59.01111,79,Raised Bog,Russia,38,-72,8297,26,10.21233/87r0-d068
46516,BABINSKO,26589,Lake Babinskoye,28.61129,59.61457,7,Lacustrine,Russia,48,155,7837.5,10,10.21233/7F5C-W552
46544,PAR,26596,Parika,25.77353,58.48888,50,Bog,Estonia,35,406,8296.5,8,10.21233/FJC1-HS98
48738,KANNA,27247,Kanna fen,22.09672,58.32503,38,Fen,Estonia,47,-36,8484,9,10.21233/9VAP-T645
48917,SURUSOO,27319,Surusoo bog,22.42306,58.52611,43,Raised Bog,Estonia,41,208,8405,6,10.21233/G9JK-3257
48919,SURUSOO,27320,Surusoo bog,22.42306,58.52611,43,Raised Bog,Estonia,41,211,8402,6,10.21233/6SYE-C988
48921,SURUSOO,27321,Surusoo bog,22.42306,58.52611,43,Raised Bog,Estonia,41,214.5,8389,6,10.21233/YTB8-KJ43
48923,SURUSOO,27322,Surusoo bog,22.42306,58.52611,43,Raised Bog,Estonia,41,204,8405,6,10.21233/47K2-XV64
48928,VEDRUKA,27325,Vedruka,22.06158,58.33007,21,Raised Bog,Estonia,86,-9,7985,13,10.21233/93QR-E085
49636,EIPURS,27645,Eipurs bog,24.61667,57.24806,49,Bog,Latvia,42,-42,8442,10,10.21233/EJ80-WQ55
49642,KC081,27648,Lake Kuzi,25.3329,57.03001,192,Lacustrine,Latvia,69,0,8433,6,10.21233/EDX5-6F83
49654,PANTENE,27653,Pantene Mire,25.21806,57.86306,55,Bog,Latvia,27,590,8494,6,10.21233/WK3Y-A183
49656,SARNATE,27654,Sarnate,21.44083,57.10861,7,Bog,Latvia,28,-29,8481,8,10.21233/27CX-NB93
49658,SVETI,27655,Svetinu lake,27.14944,56.76028,95,Lacustrine,Latvia,37,0,8432,10,10.21233/ZNR8-K992
49660,VIKIM,27656,Viki Mire,22.91472,56.51722,119,Mire,Latvia,29,177,8382.5,6,10.21233/0GP0-SK93
52082,LAIH,28072,Laihalampi,26.08083,61.48833,137,Lacustrine,Finland,121,94,8485.5,6,10.21233/T585-EP25
52088,TOSK,28074,Toskaljarvi,21.46667,69.2,704,Lacustrine,Finland,149,4,8488.5,8,10.21233/C29P-TQ20
52214,BAD5,28144,Lake Badsjön,18.79667,68.34472,400,Lacustrine,Sweden,36,17,8349.5,8,10.21233/HNMB-N887
52255,SKOGSTJE,28157,Lake Skogstjern,9.63833,59.00694,58,Lacustrine,Norway,209,44,8488,9,10.21233/WQ3M-E377
53119,LERVAHA,28451,Lervahå bog,11.88667,62.795,770,Bog,Norway,24,0,8384,7,10.21233/CW1K-S256
